"","Aridity_2020","Elevation","Enhanced_Vegetation_Index_2020","Precipitation_2020","Rainfall_2020","Mean_Temperature_2020","Malaria_Incidence_2020","Malaria_Prevalence_2020"
"416",44.95980835,102.2275543,0.343161821,155.7702484,1581.354492,27.16171837,0.313980013,0.305765539
"417",71.66136932,18.4853611,0.304349929,208.9750061,2528.580811,26.91605949,0.304481864,0.302664012
"418",71.39939117,24.01954079,0.326698601,208.2854156,2438.740723,26.88185883,0.324178904,0.330611259
"419",71.93637848,37.77245331,0.311940938,209.3856506,2530.059814,26.87259865,0.300994158,0.297559023
"420",51.11063004,185.6191406,0.390720993,164.8694916,1537.462646,27.29691887,0.176177964,0.134344921
"421",55.22218704,13.03418064,0.356292248,170.9698792,1939.815186,27.66885185,0.22632201,0.191500723
"422",60.32343674,20.56445313,0.392650694,183.422699,2027.068237,27.50580215,0.207503766,0.172471553
"423",50.17613602,64.03417206,0.303768843,162.9744415,1386.544189,27.24075508,0.206733212,0.168687001
"424",50.66495895,36.94921875,0.258722126,164.0695801,1360.948242,27.25047684,0.172873542,0.131759182
"425",59.89217377,10.00781345,0.348403186,181.3141937,2173.598877,27.57322121,0.203925252,0.16802448
"426",60.91711044,14.63085938,0.408119798,183.7331238,2137.216064,27.52501488,0.218689233,0.183158264
"427",60.93368912,13.07226563,0.383280665,182.7164459,2611.924072,27.52170181,0.274520546,0.256048292
"428",53.55478668,19.09570503,0.414840907,166.3282166,1874.696167,27.67649078,0.323467433,0.325516999
"429",61.55271149,16.25585938,0.365389109,185.3830261,2130.658203,27.5006218,0.221977517,0.186990574
"430",48.54267502,151.769516,0.411838144,159.2553711,1564.139771,27.25387764,0.233678684,0.201612264
"431",54.06668854,11.64941597,0.378127128,167.5644989,1928.69873,27.68051338,0.231256723,0.197387516
"432",59.68305206,15.42285252,0.325479865,181.5791321,1979.108643,27.5490303,0.186912075,0.148422614
"433",54.94763184,43.06152344,0.388184428,172.9538727,1792.056152,27.44935036,0.224451154,0.193686604
"434",52.28507614,9.268098831,0.278208375,160.1230469,994.0182495,27.67864609,0.316604078,0.308700383
"435",49.26451874,181.0791016,0.402276903,160.802475,1556.466431,27.25989532,0.255320519,0.230035082
"436",44.92736053,342.8574219,0.434282929,147.8514557,1406.254761,27.25678635,0.223705068,0.19832097
"437",49.25169373,92.73731232,0.294784576,155.9145355,1604.200439,27.60438347,0.221964061,0.194579333
"438",48.98959732,71.06348419,0.23920092,154.9728394,1586.837891,27.62003708,0.192092493,0.158013821
"439",49.50398254,75.13378906,0.243107557,156.3006592,1632.906738,27.63216209,0.199647173,0.166969702
"440",46.47319794,250.2294922,0.486474246,152.2178802,1499.126953,27.26558113,0.305100918,0.313518316
"441",44.90962982,330.5693359,0.456804156,147.5422974,1417.848267,27.28366661,0.266802609,0.254868597
"442",38.41863251,404.5312805,0.435932606,131.5137939,1233.365845,26.92283058,0.283906221,0.268158495
"443",47.50828171,271.7207031,0.477365792,155.219162,1544.617798,27.26451111,0.238063782,0.217400655
"444",52.85076523,22.10840034,0.433989733,164.8971405,1837.467407,27.65481758,0.271070719,0.257556438
"445",49.13210297,54.60253906,0.446052164,154.6801147,1914.06958,27.70201111,0.292139918,0.288656503
"446",43.77282333,18.11914253,0.503990114,137.6526031,1598.352905,27.67673683,0.445356876,0.556282222
"447",40.47122192,228.9824219,0.4197402,135.5680542,1139.677856,27.0809021,0.271443605,0.254761904
"448",49.08933258,104.0810547,0.432813227,156.0923004,1664.132202,27.56144333,0.309819639,0.318326503
"449",49.22492599,74.78515625,0.249524727,155.3384094,1684.266479,27.64961052,0.203485459,0.171464071
"450",50.2226181,40.08691788,0.396220982,157.9120636,1829.028442,27.67177391,0.324430496,0.338156164
"451",64.21124268,9.063802719,0.284555972,190.2927094,3487.989258,27.3203125,0.297599107,0.30191505
"452",64.21124268,9.063802719,0.284555972,190.2927094,3487.989258,27.3203125,0.297599107,0.30191505
"453",63.47237396,8.463541985,0.287965775,188.6760406,3522.770996,27.3205452,0.303609252,0.310895681
"454",63.47237396,8.463541985,0.287965775,188.6760406,3522.770996,27.3205452,0.303609252,0.310895681
"455",64.21124268,9.063802719,0.284555972,190.2927094,3487.989258,27.3203125,0.297599107,0.30191505
"456",64.21124268,9.063802719,0.284555972,190.2927094,3487.989258,27.3203125,0.297599107,0.30191505
"457",64.21124268,9.063802719,0.284555972,190.2927094,3487.989258,27.3203125,0.297599107,0.30191505
"458",64.32607269,11.53988838,0.348570466,190.7670135,3408.895996,27.32135391,0.345254898,0.376143545
"459",67.70573425,7.187238693,0.310622305,194.4953156,2282.4646,27.28927994,0.278374642,0.271086186
"460",65.04867554,33.75585938,0.427016497,190.837677,2250.547363,27.29414177,0.199965805,0.169239968
"461",67.24978638,17.58789253,0.305746406,194.6098938,2092.980713,27.27486992,0.231618553,0.207564056
"462",67.42282867,22.61914063,0.265380085,195.2277222,2069.641357,27.26462746,0.230792865,0.205829367
"463",67.71127319,16.41015625,0.20104906,195.522171,1962.026611,27.27799606,0.193737701,0.160712272
